113,50,913.85,215.82,45.68,54.84,0.4955,-1,-1,-1
114,3,209.09,255.01,94.00,40.40,0.8273,-1,-1,-1
114,13,341.32,277.33,340.12,158.83,0.9061,-1,-1,-1
114,30,329.67,279.97,111.04,38.33,0.7997,-1,-1,-1
114,39,0.28,281.41,20.90,19.48,0.4174,-1,-1,-1
114,45,575.66,258.22,92.77,24.04,0.4425,-1,-1,-1
114,50,909.51,215.72,50.23,55.45,0.4823,-1,-1,-1
115,3,208.76,255.04,94.20,39.93,0.8268,-1,-1,-1
115,9,495.19,212.30,98.55,58.82,0.4166,-1,-1,-1
115,13,322.51,278.89,348.96,163.43,0.9090,-1,-1,-1
115,30,314.44,281.67,111.70,37.93,0.7760,-1,-1,-1
115,39,0.05,281.18,21.27,19.65,0.4409,-1,-1,-1
115,45,563.16,258.79,92.83,25.02,0.4939,-1,-1,-1
115,50,905.11,215.46,54.46,56.69,0.4959,-1,-1,-1
116,3,209.15,255.00,93.91,39.60,0.8037,-1,-1,-1
116,9,495.88,213.85,98.26,56.59,0.3156,-1,-1,-1
116,13,304.28,280.81,356.18,165.15,0.9000,-1,-1,-1
116,30,298.70,281.41,113.13,39.38,0.7915,-1,-1,-1
116,39,0.19,281.40,21.02,19.35,0.2744,-1,-1,-1
116,45,549.28,259.56,93.93,26.09,0.5519,-1,-1,-1
116,50,900.49,215.54,59.12,57.37,0.6797,-1,-1,-1
117,3,209.12,255.00,93.54,39.34,0.7672,-1,-1,-1
117,13,285.51,280.82,362.12,171.03,0.9138,-1,-1,-1
117,30,282.31,280.46,115.04,41.85,0.7691,-1,-1,-1
117,39,0.08,280.81,20.87,20.08,0.4097,-1,-1,-1
117,45,544.00,260.60,84.05,27.38,0.5372,-1,-1,-1
117,50,895.80,215.69,63.77,57.78,0.6508,-1,-1,-1
118,3,208.92,255.15,94.66,38.61,0.7759,-1,-1,-1
118,13,268.44,281.54,368.96,176.48,0.9101,-1,-1,-1
118,30,267.38,281.09,115.38,40.32,0.7791,-1,-1,-1
118,39,0.04,280.22,20.74,20.63,0.3846,-1,-1,-1
118,45,545.22,261.79,70.97,26.85,0.4433,-1,-1,-1
118,50,889.12,216.07,70.27,58.46,0.6516,-1,-1,-1
119,3,209.00,255.58,94.06,38.05,0.8105,-1,-1,-1
119,13,246.65,284.20,377.91,178.68,0.8860,-1,-1,-1
119,30,251.51,283.18,117.39,41.29,0.7411,-1,-1,-1
119,39,0.41,281.19,20.30,19.93,0.3085,-1,-1,-1
119,50,883.31,217.05,76.18,57.88,0.7126,-1,-1,-1
120,3,208.49,256.01,94.62,37.82,0.8247,-1,-1,-1
120,13,224.36,288.04,390.21,180.65,0.9002,-1,-1,-1
120,30,235.77,283.77,117.76,42.04,0.7366,-1,-1,-1
120,39,0.30,281.24,20.60,20.09,0.3287,-1,-1,-1
120,45,485.93,263.96,103.22,31.71,0.7047,-1,-1,-1
120,50,878.31,217.58,79.36,58.14,0.6906,-1,-1,-1
121,3,208.58,256.22,94.09,36.81,0.7324,-1,-1,-1
121,13,207.87,290.85,393.51,184.69,0.9137,-1,-1,-1
121,30,219.05,284.77,119.33,42.54,0.7481,-1,-1,-1
121,39,0.30,281.50,20.73,20.55,0.2665,-1,-1,-1
121,45,466.84,265.12,108.09,32.93,0.6883,-1,-1,-1
121,50,873.39,218.14,79.66,57.81,0.6151,-1,-1,-1
122,3,207.68,256.37,95.37,36.33,0.6663,-1,-1,-1
122,13,181.71,294.58,406.16,187.88,0.9084,-1,-1,-1
122,30,203.47,284.89,118.50,44.05,0.7306,-1,-1,-1
122,45,450.08,265.77,98.15,35.13,0.6607,-1,-1,-1
122,50,867.73,218.40,80.37,58.10,0.7392,-1,-1,-1
123,3,208.08,256.28,94.76,36.35,0.7243,-1,-1,-1
123,13,155.94,294.94,417.46,194.64,0.9173,-1,-1,-1
123,30,186.45,286.64,119.36,43.47,0.7620,-1,-1,-1
123,45,435.24,265.72,101.46,37.87,0.7958,-1,-1,-1
123,50,860.63,218.92,82.24,58.18,0.7452,-1,-1,-1
124,3,207.65,256.09,95.19,37.83,0.7566,-1,-1,-1
124,13,127.05,298.73,433.00,196.71,0.9213,-1,-1,-1
124,30,169.11,288.07,120.38,43.44,0.7936,-1,-1,-1
124,45,420.14,266.05,109.78,39.78,0.8543,-1,-1,-1
124,50,855.71,219.34,81.71,58.93,0.7206,-1,-1,-1
125,3,208.82,256.23,94.70,38.50,0.7245,-1,-1,-1
125,13,108.98,300.34,438.34,203.42,0.9183,-1,-1,-1
125,30,152.37,290.01,121.71,43.43,0.7948,-1,-1,-1
125,45,405.90,266.91,112.48,41.13,0.8881,-1,-1,-1
125,50,851.02,219.37,81.28,59.31,0.7537,-1,-1,-1
126,3,208.58,255.84,95.01,38.89,0.7749,-1,-1,-1
126,13,74.90,304.03,457.60,206.79,0.9206,-1,-1,-1
126,30,134.42,290.63,123.11,44.75,0.8037,-1,-1,-1
126,45,391.17,267.27,114.18,42.76,0.8566,-1,-1,-1
126,50,843.54,219.94,83.26,59.54,0.6949,-1,-1,-1
127,3,209.19,256.20,94.28,38.94,0.7796,-1,-1,-1
127,13,45.46,306.35,474.37,214.61,0.9138,-1,-1,-1
127,30,117.03,293.58,124.90,44.21,0.8079,-1,-1,-1
127,45,377.94,268.20,115.43,45.45,0.8415,-1,-1,-1
127,50,838.49,219.99,83.89,59.88,0.7398,-1,-1,-1
128,3,209.33,256.41,94.53,39.15,0.7932,-1,-1,-1
128,13,26.97,309.71,478.41,219.23,0.9206,-1,-1,-1
128,30,99.26,295.97,127.20,43.90,0.8149,-1,-1,-1
128,45,362.59,269.37,117.41,46.20,0.8449,-1,-1,-1
128,50,831.70,220.05,85.70,60.75,0.7021,-1,-1,-1
129,3,209.27,256.29,94.34,39.23,0.7977,-1,-1,-1
129,13,2.19,310.98,488.36,225.71,0.9178,-1,-1,-1
129,30,81.46,296.95,127.93,44.23,0.8305,-1,-1,-1
129,45,346.56,270.60,119.34,47.14,0.8591,-1,-1,-1
129,50,824.71,220.38,87.76,61.11,0.7126,-1,-1,-1
130,3,209.10,256.35,94.04,39.33,0.7516,-1,-1,-1
130,13,0.00,313.69,473.97,226.31,0.9158,-1,-1,-1
130,30,61.97,297.34,129.57,45.72,0.8447,-1,-1,-1
130,45,331.04,271.17,121.73,48.84,0.8722,-1,-1,-1
130,50,818.28,220.97,88.08,61.31,0.7346,-1,-1,-1
131,3,209.31,256.53,94.14,39.56,0.7296,-1,-1,-1
131,13,0.00,315.30,458.48,224.70,0.9206,-1,-1,-1
131,30,43.13,299.42,132.02,45.34,0.8465,-1,-1,-1
131,45,315.37,271.78,123.43,49.99,0.8473,-1,-1,-1
131,50,813.58,221.52,87.49,61.65,0.7212,-1,-1,-1
132,3,209.33,256.37,93.41,39.69,0.7499,-1,-1,-1
132,13,0.00,319.74,441.70,220.26,0.9179,-1,-1,-1
132,30,24.11,301.81,132.40,45.84,0.8386,-1,-1,-1
132,45,298.77,272.30,125.65,51.29,0.8512,-1,-1,-1
132,50,806.91,221.65,89.07,62.34,0.7374,-1,-1,-1
133,3,209.10,256.32,93.40,39.98,0.7489,-1,-1,-1
133,13,0.00,323.91,424.88,216.09,0.9188,-1,-1,-1
133,30,4.63,302.94,133.55,47.27,0.8448,-1,-1,-1
133,45,283.69,272.96,126.46,51.52,0.8555,-1,-1,-1
133,50,800.66,222.01,89.81,62.83,0.7553,-1,-1,-1
134,3,209.81,256.41,92.06,39.85,0.6278,-1,-1,-1
134,13,0.00,326.71,408.42,213.29,0.9168,-1,-1,-1
134,30,0.00,304.23,119.70,47.78,0.8164,-1,-1,-1
